code;ratingc;e;d;c;b;a;resc
6405;E;0;0;0;0;0;0
4001;E;1;0;0;0;0;3
10615;E;0;0;0;0;0;0
1537;D;0;3;0;0;0;3
11356;E;0;0;0;0;0;0
10395;E;0;0;0;0;0;0
10245;E;0;0;0;0;0;0
3957;E;0;0;0;0;0;0
2760;D;0;0;0;0;0;0
4538;E;0;0;0;0;0;0
11616;E;1;0;0;0;0;3
5867;D;4;0;0;0;0;0
6128;E;0;0;0;0;0;0
4465;D;0;0;0;0;0;0
2767;A;0;13;12;12;0;0
3771;B;1;12;12;0;0;0
9861;E;1;0;0;0;0;3
3780;D;0;5;0;0;0;5
10175;D;5;0;0;0;0;0
5343;E;3;0;0;0;0;9
1072;D;0;0;0;0;0;0
8927;E;0;0;0;0;0;0
3950;E;3;0;0;0;0;9
3540;E;0;0;0;0;0;0
3554;E;0;0;0;0;0;0
11667;E;0;0;0;0;0;0
3641;D;0;2;0;0;0;2
7691;E;0;0;0;0;0;0
4757;E;0;0;0;0;0;0
2330;D;0;1;0;0;0;1
8801;D;0;4;0;0;0;4
1304;D;0;0;0;0;0;0
3599;E;0;0;0;0;0;0
9193;E;0;0;0;0;0;0
6434;D;8;8;0;0;0;8
1925;D;0;0;0;0;0;0
4849;D;4;0;0;0;0;0
955;D;0;5;0;0;0;5
11562;E;0;0;0;0;0;0
9933;D;4;0;0;0;0;0
11057;E;0;0;0;0;0;0
1391;D;0;0;0;0;0;0
3118;D;4;0;0;0;0;0
1834;D;0;8;0;0;0;8
10815;E;0;0;0;0;0;0
6705;E;0;0;0;0;0;0
1142;C;0;2;0;0;0;0
6797;E;0;0;0;0;0;0
6328;E;0;0;0;0;0;0
11017;E;0;0;0;0;0;0
3744;D;5;0;0;0;0;0
10219;E;0;0;0;0;0;0
11082;E;0;0;0;0;0;0
5955;A;0;0;15;5;4;0
10218;E;0;0;0;0;0;0
6624;E;0;0;0;0;0;0
2502;A;0;16;13;13;0;0
5449;D;4;0;0;0;0;0
1616;D;0;9;0;0;0;9
3117;E;3;0;0;0;0;9
8711;D;8;0;0;0;0;0
9415;E;0;0;0;0;0;0
4930;E;0;0;0;0;0;0
2485;E;0;0;0;0;0;0
11381;E;0;0;0;0;0;0
11810;E;0;0;0;0;0;0
10181;D;2;0;0;0;0;0
8618;D;5;0;0;0;0;0
5988;E;0;0;0;0;0;0
5979;D;4;1;0;0;0;1
7820;E;3;0;0;0;0;9
10672;D;6;0;0;0;0;0
9597;E;0;0;0;0;0;0
5549;D;6;1;0;0;0;1
6424;D;6;0;0;0;0;0
7035;E;0;0;0;0;0;0
10975;E;1;0;0;0;0;3
5965;E;0;0;0;0;0;0
7223;E;0;0;0;0;0;0
10377;E;0;0;0;0;0;0
7601;D;6;1;0;0;0;1
2521;D;0;11;0;0;0;11
7311;E;1;0;0;0;0;3
4051;D;4;0;0;0;0;0
3360;E;0;0;0;0;0;0
5507;D;0;0;0;0;0;0
2711;D;0;0;0;0;0;0
9106;D;4;0;0;0;0;0
11038;E;0;0;0;0;0;0
5034;D;5;0;0;0;0;0
8985;E;1;0;0;0;0;3
7900;D;3;1;0;0;0;1
10280;E;2;0;0;0;0;6
5514;E;0;0;0;0;0;0
11379;E;0;0;0;0;0;0
5604;D;7;0;0;0;0;0
1789;D;0;1;0;0;0;1
